"PAT_ZIP","SITE_ZIP","total_enc_cnt"
"02054","02467","3"
"02056","02155","3"
"02060","02184","8"
"02062","01742","2"
"02067","02138","3"
"02081","02481","81"
"02108","02481","2"
"02109","02109","153"
"02109","01824","2"
"02110","02109","57"
"02081","02184","17"
"02090","02062","15"
"02090","02169","5"
"02116","02109","358"
"02117","02184","5"
"02118","02481","17"
"02171","02109","65"
"02169","02184","1452"
"02330","02215","1"
"02332","02109","8"
"02333","02215","2"
"02180","01824","6"
"02149","02138","96"
"02188","02138","1"
"02188","02155","2"
"02189","02169","235"
"02151","02109","92"
"02152","02138","7"
"02170","02481","25"
"02170","02184","368"
"02196","02109","23"
"02199","01742","1"
"02210","02215","7"
"02186","02144","8"
"02301","02169","88"
"02301","02481","6"
"02301","01824","1"
"02135","02215","411"
"02135","02481","157"
"02135","02138","182"
"02121","02169","11"
"02121","02109","76"
"02121","02467","55"
"02129","01803","4"
"02130","02215","382"
"02130","02184","20"
"02141","02481","4"
"02130","02144","8"
"02142","02215","7"
"02143","02138","405"
"02124","02215","442"
"02136","02138","19"
"02136","02169","14"
"02144","02169","4"
"02145","02155","212"
"02145","01960","11"
"02125","02467","132"
"02136","02062","1"
"02125","02138","15"
"02143","02169","4"
"02139","02138","868"
"02127","02169","48"
"02127","02109","539"
"02127","01742","11"
"02132","02026","30"
"02127","01915","1"
"02128","02109","333"
"02128","02215","95"
"02120","02481","6"
"02129","02467","3"
"02134","02138","86"
"02468","02144","1"
"02472","02169","13"
"02472","02215","94"
"02472","01960","4"
"02492","02481","614"
"02492","02109","40"
"02492","02184","5"
"02343","02184","624"
"02343","02169","161"
"02446","02109","108"
"02446","01960","1"
"02346","02169","3"
"02346","02481","4"
"02346","02215","1"
"02346","02155","19"
"02351","02481","4"
"02351","02467","9"
"02493","02215","3"
"02451","02109","2"
"02451","02144","13"
"03062","01803","7"
"03076","01915","13"
"03087","01915","2"
"02351","01824","35"
"02351","01803","4"
"02356","02481","6"
"02359","02184","128"
"02359","02169","16"
"02452","02215","3"
"02452","01803","3"
"19382","02184","1"
"20009","02215","2"
"20112","02481","3"
"29579","02481","3"
"30327","02109","3"
"32355","02467","4"
"32407","01960","2"
"33415","02155","2"
"48207","02109","1"
"02360","02481","8"
"02474","02472","9"
"03801","02109","1"
"03817","02138","1"
"03841","01915","4"
"03842","01915","6"
"02364","02184","93"
"02364","02481","1"
"02367","02184","4"
